,Property Name,Reported,Property Type,Address,ZIP, Gross Area (sq ft) ,Site EUI (kBTU/sf),Energy Star Score,Energy Star Certified,Property Uses,Year Built, GHG Emissions (MTCO2e) ,GHG Intensity (kgCO2/sf), Total Site Energy (kBTU) ,% Electricity,% Gas,% Steam,Water Intensity (gal/sf), Onsite Renewable (kWh) ,User Submitted Info,Tax Parcel
318,38 Hemenway,Compliant,Multifamily Housing,38 Hemenway Street,02115,35100,98.8,72.0,,Multifamily Housing,1920,193.9,5.5,3468902.2,0.11700724857564447,0.8729380147990335,,34.97,,,0401395000
319,38 Newbury Street,Compliant,Retail Store,38 Newbury Street,02116,45762,56,83.0,,"Office, Retail Store, Self-Storage Facility",1927,179.6,3.9,2562430.8,0.4001599863691929,,0.5654532797529596,16.3,,,0501241000
320,380 Stuart Street,Compliant,Office,380 Stuart Street,02116,149000,17.6,99.0,"2015, 2014, 2013, 2012, 2011, 2010, 2009",Office,1930,196.5,1.3,2622822.6,0.9204513190484176,,0.00045180333584131843,0,,LEED EBOM Project #1000006306,0401131000
321,381 Congress Street,Compliant,Multifamily Housing,381 Congress St.,02210,44010,99.1,1.0,,"Multifamily Housing, Restaurant",2013,291.4,6.6,4360278.7,0.5787532030464015,0.3715129723244526,,52.61,,"Property contains 44 apartments, made up of 8 studios and 36 1 bedroom units.  There is a restaurant located on the first floor.",602687000
322,384 WARREN STREET,Compliant,Other - Education,384 WARREN STREET,02119,33750,14.6,,,Other - Education,1920,36.9,1.1,492699.7,0.9208673843316729,0.0,,9.95,,,1200967000
323,38-46 Summer Street,Compliant,Office,40 Summer Street ,02110,40398,57.3,53.0,,Office,1873,161.8,4,2315122,0.7080051270732168,0.23115403853447034,,11.43,,"  BERDO Aggregate Electric Data was obtained from Eversource.   Water and Gas billed entered from utility bills based on billing cycles from BWSC and National Grid.   Default values were used for the number of computers, operating hours and # of workers on main shift.  ",0304593000 0304594000 0304598000
324,39 North Bennet Street,Municipal,Other - Education,39 North Bennet Street,02113,30000,31.6,,,Other - Education,1879,70.9,2.4,946522.9,0.9208675458353939,,,Not Available,,,302292000
325,4 Bismarck,Compliant,Multifamily Housing,15 Bismark Street,02026,14400,86.9,,,Multifamily Housing,1965,93.1,6.5,1251423.6,0.21028456551402736,,,109.27,,,1801980000
326,40 Berkeley Street,Compliant,Hotel,40 Berkeley St,02116,67624,50.4,57.0,,Hotel,1899,251.6,3.7,3409608.1,0.8721503550510687,0.05290344072094385,,9.54,," Note gross floor area is listed as 67,624 sq ft on Boston Tax Assessor Database.

",0500865000
327,40 Boylston Street Apartments,Compliant,Multifamily Housing,40 Boylston Street,02116,45146,39792.8,1.0,,Multifamily Housing,2004,119299.1,2642.5,1796486295.2,0.0009019119901605582,,0.9990205842345131,49.48,,,0304894000
328,40 Broad St.,Compliant,Office,40 Broad St.,02109,309915,56.1,83.0,"2018, 2017, 2016, 2015, 2014, 2013, 2012, 2011, 2010","Office, Restaurant",1923,1268.2,4.1,17379655.7,0.7086944352643304,,0.23040557126802,13.64,,"We recalculated the GSA using CAD drawings, and included previously excluded non tenant areas. The revised GSA has increased from 286,159 sq ft to 309,915 sq ft.  

May we request the portfolio be reset in order to re-generate a 2016 Award application?  The owner is going for an expensive USGBC LEED certification and evidently a score of 90 brings much needed additional LEED points.

Best wishes,

",0303824000
329,40 Court Street,Compliant,Office,40 Court Street,02108,107216,98.1,52.0,,Office,1914,693.7,6.5,10518970.6,0.32934721840557285,0.2637063649555214,0.3786447411498612,14.93,,,0302855000
330,40 Fairlawn,Compliant,Multifamily Housing,15 Bismark Street,02026,50000,56.2,85.0,,Multifamily Housing,1965,209.1,4.2,2811855.9,0.19806229828491567,,,34.99,,,1801935000
331,40-48 Buswell Street,Compliant,Residence Hall/Dormitory,40-48 Buswell Street,02215,58302,83.4,86.0,,Residence Hall/Dormitory,1896,268.2,4.6,4860903.9,0.0866704966539248,0.9058817023722686,,65.21,,,2100235000
332,416 Marlborough Street Condominium Trust,Compliant,Multifamily Housing,41 6 Marlborough Street,02115,78100,63.9,31.0,,Multifamily Housing,1988,337,4.3,4987290.9,0.6103216828599269,0.3372317423874352,,41.19,,,0503596000
333,42/38 Everett Street,Compliant,Office,38 Everett Street,02135,42911,43.6,70.0,,Office,1111,140.1,3.3,1869643.9,0.9208673857091182,,,2.04,,"Although this property was reported in 2014 for 2013 actual data, the square footage is less than 50,000 sq. ft. and it is not required to be reported.  Thus, we are not reporting this property in 2015 with 2014 data and this property can be deleted.",2201872000
334,420 Boylston Street aka 414-426 Boylston Street && 211 Berkeley Street,Compliant,Office,420 Boylston Street,02116,128641,56.9,76.0,,Office,1906,478.4,3.7,7317445.1,0.5171896181906441,0.43836688299854826,,7.27,,"The BERDO aggregate electric data obtained from Eversource.  Water Usage and Gas Usage entered from bills based on billing cycle from BWSC and National Grid.  Default values were used for the number of computers, operating hours and # of workers on main shift.  Although the majority of tenants in the office portion of the building are have normal operating hours of 45-50 hours per week,  the various retail tenants on the ground floor are opened 60-90 hours per week and their usage is also reflected in the total building data.",0501157000
335,420 Rutherford Ave,Compliant,Self-Storage Facility,420 Rutherford Ave,02129,42963,22,,,Self-Storage Facility,1980,52.7,1.2,946029.4,0.10793065627770129,0.8827944459231394,,0.28,,,202162070
336,42-44 Cummington Street,Compliant,Laboratory,42-44 Cummington Street,02215,96500,297.9,,,Laboratory,1968,1831,19,28751600,0.44598605795155744,0.5156891790369927,,9.15,,,2100287000
337,425 Medford Street,Compliant,Distribution Center,425 Medford Street,02129,186818,30.1,75.0,,"Distribution Center, Parking",1899,360.4,1.9,5620309.7,0.4642516552424148,0.4958539562330524,,325.07,,"Property has short term tenants.  We are actively trying to rent the building.  Depending on the tenant use would be the energy saving systems that could be added to the property

The gas company gave us estimated invoices only for most of 2013.

Still trying to get he electric usage as the invoices were not in our name and the tenant has moved out.

Building was vacant most of the year 2014.

Building was vacant most of the year 2015.

Building has only short term tenants 2017.",0201799000  0201798000
338,42S22-W Boston Hotel & Residen RA,Compliant,Hotel,100 Stuart Street,64108,191286,147.6,12.0,,Hotel,2000,3390.6,17.7,28242811.1,0.41131044228809077,0.08527125686861957,0.4680732967123092,48.23,,,0500075020
339,434 Massachusetts Avenue,Compliant,Office,434 Massachusetts Avenue,02118,38000,39.2,78.0,,"Fast Food Restaurant, Office, Restaurant",1900,102.1,2.7,1488443.1,0.6522374298352419,0.29171420795326336,,4.54,,used some default values in the property details.,0900728000
340,44 Farnsworth,Compliant,Office,44 Farnsworth Street,02210,93824,78.9,52.0,,Office,1980,502,5.4,7400712.2,0.6210426366262425,0.32558952907262084,,14.32,,,0602662015
341,44 Prince Street Condominium Trust,Compliant,Multifamily Housing,24 Farnsworth Street,02210,76038,43.9,77.0,,Multifamily Housing,2006,201.2,2.6,3338365.7,0.30146267510476754,0.6726318509682747,,25.23,,,0302347000
342,44 School Street LLC,Compliant,Office,44 School Street,02026,58921,46.6,98.0,,Office,1924,202.5,3.4,2746346.9,0.15740266817713378,,,9.85,,"Cubby Oil for heat
",0304704000
343,441 stuart st,Compliant,Office,441 stuart st,02116,164124,58.1,54.0,,"Fitness Center/Health Club/Gym, Office, Parking",1937,704.2,4.3,9541314.4,0.8731026990998221,0.05186927914250472,,17.2,,,0401088000
344,45 Milk Street,Compliant,Office,45 Milk Street,02210,82925,54.4,79.0,"2018, 2017","Adult Education, Office",1893,300.4,3.6,4514302.3,0.5664801852104587,0.3848406430380172,,9.08,,,0304662000
345,45 Province Condominium,Compliant,Multifamily Housing,45 Province Street,02108,195022,88.6,14.0,,Multifamily Housing,2009,1093.8,5.6,17278194.5,0.43012268321206826,0.5329157279714614,,35.18,,,0304705000
346,451D,Compliant,Office,70 Fargo Street,02210,497530,118.5,56.0,,"Data Center, Office, Parking",1905,4394.2,8.8,58964572.2,0.9033671436829315,0.01900411820506687,,13.84,,"BERDO - on Feb 24, 2017 we refiled CY-2013, CY-2014 and CY-2015.  They now include historic gas usage.  Prior submissions did not report gas usage. 


7/18/2014:  Tenant data centers
Monster (27,398 SF)
Verizon (28,683 SF)  54 volts x 800 amps = 43 kW
BT America (4,179 SF)
TCG/ATT (11,312 SF)",0602825000
347,455-465 Geneva Ave.,Compliant,Multifamily Housing,455 Geneva Ave Pub,02122,24850,69.8,81.0,,Multifamily Housing,2012,99,4,1734282.1,0.1678921105165071,0.817680526138164,,53.01,,,1702239000
348,"46 Westland Ave - Forty-Six Westland Avenue, LLC",Compliant,Multifamily Housing,46 Westland Avenue,02115,30565,52.5,100.0,,Multifamily Housing,1926,119.1,3.9,1604885.2,0.03874235864347182,0.0027796380700625817,,8.23,,,401516000
349,465 Medford Street,Compliant,Office,465 Medford Street,02129,180096,78.9,82.0,,"Office, Parking",1920,915.8,5.1,14215610.5,0.4770320802894818,0.4819752693702462,,1.03,,Electric Usage provided by NSTAR.  Tenant which occupies 60% of they building is working two shifts and is a high energy user. ,0201804000 0201802000
350,4-8-12 ELKO ST,Compliant,Multifamily Housing,4 Elko Street,02135,48392,19.9,100.0,,Multifamily Housing,1925,62,1.3,962451.1,0.4754797578806861,0.4836610400258257,,21.24,,,2202338000
351,485 Harrison Ave (Harrison Lofts Condo),Compliant,Other,485 Harrison Avenue,02118,65121,57.3,,,Other,2003,226.2,3.5,3730243.2,0.31775088551867076,0.6549439725538537,,3.42,,This is a condominium building.,0306445010
352,488 DOT Condominium Trust,Compliant,Multifamily Housing,488 Dorchester Avenue,02127,49900,5.5,100.0,,"Multifamily Housing, Parking",2016,17.4,0.3,275069.3,0.43410243818557726,0.5285940670223831,,19.61,,,700176000
353,5 Perth St,Compliant,Multifamily Housing,5 Perth Street,02121,36493,96.9,26.0,,Multifamily Housing,1845,202.3,5.5,3537379,0.1717815693483791,0.8134567995117289,,42.84,,,1300741010
354,5 Royce Road,Compliant,Multifamily Housing,5 Royce Road,02134,32350,3.6,100.0,,Multifamily Housing,1924,8.8,0.3,116908.8,0.9208672743198116,,,32.78,,,2101545000
355,50 Commonwealth Avenue,Compliant,Multifamily Housing,50-52 Commonwealth Ave,02116,7740,Not Available,,,Multifamily Housing,1985,Not Available,Not Available,Not Available,,,,Not Available,,,501278000
356,50 Fairlawn,Compliant,Multifamily Housing,15 Bismark Street,02026,50000,57.8,80.0,,Multifamily Housing,1965,214.8,4.3,2887509.3,0.21563560879267127,,,31.79,,,1801935000
357,50 Federal St.,Compliant,Office,50-60 Federal Street,02110,71880,88.3,,,"Medical Office, Office",1910,461.5,6.4,6348074.8,0.6795731331962251,,0.2620293321055385,10.68,,,0304670000
358,"50 Milk Street, LLC",Compliant,Office,50 Milk Street,02109,290759,67.4,79.0,,"Office, Parking, Restaurant",1981,1468.5,5.1,19596863.6,0.9208674153857968,,,16.26,,,0303910000
359,50 Post Office Square (EPL),Compliant,Office,185 Franklin Street,02110,813721,46.2,83.0,"2018, 2017, 2016, 2014, 2012","Office, Parking",1947,2719.6,3.3,37597800,0.6400979326343562,,0.3048967466181532,377.03,,,304176000
360,50 West Broadway (Whole Building Tracking): 50 West Broadway (Whole Building ...,Compliant,Multifamily Housing,50 West Broadway,02127,200755,63.7,19.0,,Multifamily Housing,2009,853.9,4.3,12786769.4,0.5766637210959634,0.37378202816420536,,24.57,,SF includes 3700 SF of commercial space,0600022010
361,500 - 570 Rutherford Ave,Compliant,Other,500 Rutherford Ave,02129,448436,137.2,,,"College/University, Office, Other",1925,4555.5,10.2,61536091.2,0.8825291623852768,0.04163275973563949,,13.6,,,0202161000
362,500 Atlantic Avenue Condo Association,Compliant,Hotel,500 Atlantic Avenue,02210,697555,47.1,70.0,,"Hotel, Multifamily Housing, Parking",2006,2338.5,3.4,32857919,0.7619187958251404,0.1726074922760629,,44.49,,"Additional Parcel ID:  0302953012, 0302953014, 0302953018, ",0302953010
363,501 Boylston,Compliant,Office,501 Boylston Street,02116,682117,82,73.0,"2018, 2017, 2016, 2015, 2014, 2013, 2012, 2011, 2010, 2009, 2007, 2005","Bank Branch, Office, Other, Parking, Personal Services (Health/Beauty, Dry Cleaning, etc.), Retail Store, Swimming Pool",1940,3509.3,5.1,55944387,0.40567364476797285,0.5594657387165579,,14.11,,,0501296002 0501296004 0501296006
364,501 WEST BROADWAY,Municipal,Multifamily Housing,81 Orton Marotta Way,02127,580000,107.1,8.0,,Multifamily Housing,1949,3589,6.2,62119014.3,0.19672056004597613,0.7863747187630439,,7624.33,,,600307000
365,502 CAMDEN,Municipal,Multifamily Housing,50 & 60 Camden Street,02118,52974,213.2,1.0,,Multifamily Housing,1949,626.4,11.8,11295779,,0.8927465825951446,,Not Available,,,901233000
366,504 Beacon,Compliant,Multifamily Housing,504 Beacon Street,02115,19824,9.1,100.0,,Multifamily Housing,1900,27.9,0.7,372880.4,0.9208675757696032,,,28.25,,,503693000
367,504 FANEUIL,Municipal,Multifamily Housing,266 North Beacon Street,02135,225372,198.4,1.0,,Multifamily Housing,1950,3298.8,14.6,44719581.1,0.11763170116546552,0.025375693870263016,,10399.19,,,2202616000
368,505 FAIRMOUNT,Municipal,Multifamily Housing,43 Bow Street,02136,180000,134.8,1.0,,Multifamily Housing,1951,1421.2,7.9,24261412.8,0.23047565527593677,0.7497189611315628,,9912.04,,,1810142000
369,507 ARCHDALE,Municipal,Multifamily Housing,120 Brookway Road,02131,306414,98.3,18.0,,Multifamily Housing,1952,1723.8,5.6,30129347.5,0.17287862780300833,0.812265449824295,,7937.11,,,1903515000
370,508 ORIENT HEIGHTS,Municipal,Multifamily Housing,38 Vallar Road,02128,122456,97.5,38.0,,Multifamily Housing,1952,1432.9,5.4,25660859.2,0.11491000241332527,0.8752154682334253,,Not Available,,,102280000
371,51 Melcher,Compliant,Office,51 Melcher Street,02210,99000,60.6,79.0,,Office,1915,416.5,4.2,6003175.7,0.6866892034494343,0.254301785636559,,4.91,,,0601166040
372,51 Sleeper Street,Compliant,Office,51 Sleeper Street,02210,193662,40,82.0,"2018, 2017, 2016, 2015","Office, Restaurant",1929,581,3,7753514.7,0.9208674145932811,,,8.93,,,0602670000
373,510 GALLIVAN,Municipal,Multifamily Housing,115 Standard Street,02126,241144,148.8,1.0,,Multifamily Housing,1953,2038.9,8.5,35887955,0.15610927681446324,0.8304758351374437,,10125.85,,,1800257000
374,512 Beacon Street,Compliant,Residence Hall/Dormitory,512 Beacon Street,02215,70768,83.7,77.0,2013,Residence Hall/Dormitory,1926,331.8,4.7,5921889,0.12296714359218824,0.8664659367982074,,41.97,,,0503696000
375,512 SOUTH STREET,Municipal,Multifamily Housing,15 St. Rose Street,02130,124863,121.7,9.0,,Multifamily Housing,1953,843,6.8,15196444.2,0.09960692436195041,0.8918335974938137,,7860.89,,,1103307000
376,514-522 Park Drive,Compliant,Residence Hall/Dormitory,514-522 Park Drive,02215,36968,82.3,87.0,,Residence Hall/Dormitory,1915,169.7,4.6,3041113.2,0.1140543839012635,0.8761445644312088,,31.3,,,2100257000
377,51-59 Amory Street,Compliant,Other,51-59 Amory Street,02119,78738,3.1,,,Other,1876,13.6,0.2,246312.5,0.08028212616087288,0.9128188784572444,,0.04,,"Tenanted portion of the building is less than 1% of building total .  Management office only.For all intents and purposes, this is a vacant building.",1101201000
378,5165 Washington Street LLC,Compliant,Multifamily Housing,5165 WASHINGTON STREET,02132,39225,4.4,100.0,,"Multifamily Housing, Parking",2017,12.6,0.3,171826.1,0.8597349320039271,0.06638630568929865,,14.96,,,2003386000
379,53 State Street,Compliant,Office,53 State Street,02109,1321219,51.7,83.0,"2018, 2017, 2016, 2015, 2014, 2013, 2010, 2009, 2008","Bank Branch, Convenience Store without Gas Station, Fitness Center/Health Club/Gym, Office, Parking, Restaurant",1985,4979.5,3.8,68358134,0.6951008227199414,,0.24516731395857003,8.24,,"
",0303870000
380,535 Boylston Street,Compliant,Office,535 Boylston Street,02116,104036,99.9,72.0,"2018, 2017",Office,1963,705.1,6.8,10392383.7,0.17284703519944128,0.01167842753919873,0.8006213242492192,27.75,,,0501297000
381,540 Comm Ave,Compliant,Mixed Use Property,540 Commonwealth Avenue,02215,35800,134.2,,,"Bank Branch, Fast Food Restaurant, Other - Education",1925,328.1,9.2,4803185.8,0.5265887073949961,0.29965528295823995,,25.75,,,0503938000
382,543-547 Washington Street,Compliant,College/University,543-547 Washington Street,02116,146942,186,,,College/University,2010,1911.9,13,27336284.3,0.40825296543319894,0.018351952829229246,0.5383128130548451,41.06,,"Temporary values were entered for detailed property use, definitive numbers will be updates as soon as they become available.",0304839010
383,545 Boylston Street,Compliant,Office,545 Boylston Street,02116,97790,70.4,78.0,"2018, 2017","Office, Restaurant",1972,480.9,4.9,6887937.9,,,0.6001160521496571,20.61,,,0501298000
384,549 Albany Street - 535139,Compliant,Laboratory,549 Albany Street,02118,105462,198.9,,,"Distribution Center, Laboratory, Office, Parking, Refrigerated Warehouse",1895,1355.3,12.9,20971814.2,0.48575957105322815,0.4724978252000726,,2.83,,,0801154010
385,55 Summer Street,Compliant,Office,55 Summer Street,02111,141961,107.7,41.0,,"Office, Other, Retail Store",1976,1016.8,7.2,15295466.7,0.5637335243389467,0.38782334114721717,,10.08,,,0304560000
386,55 Thomson Pl,Compliant,Financial Office,44-48 Stillings St,02210,71000,76.1,48.0,,Financial Office,1914,390.6,5.5,5402623.2,0.8091320700655192,0.12133709417306762,,6.9,,,602652003
387,56 & 60 Commonwealth Condominium,Voluntary,Multifamily Housing,56 and 60 Commonwealth,02116,17839,93.1,73.0,,"Multifamily Housing, Parking",1929,94.6,5.3,1660658.2,0.16350466098321736,0.8224449799483121,,33.34,,,501274000
388,56 Roland Street,Compliant,Other,56 Roland Street,02129,132614,91.5,,,"Office, Other",1910,817.6,6.2,12139402.3,0.6008767799053829,0.34748829437838136,,1.03,,We have been doing building renovations for about 18 months which has caused and heightened energy usage.,0202125000
389,565-575 Commonwealth Avenue,Compliant,Residence Hall/Dormitory,565-575 Commonwealth Avenue,02215,87619,93.5,51.0,,Residence Hall/Dormitory,1992,508.2,5.8,8189559.3,0.37707855161388226,0.5905180758627635,,47.02,,,050398300
390,5677-Sheraton Boston Hotel,Compliant,Hotel,39 Dalton Street,02199,1040000,99.2,74.0,,Hotel,1990,6396,6.1,103156293.6,0.3397738365330334,0.5681010683385004,0.06292742665969535,31.22,,,0401037300
391,573 575 Boylston Street,Compliant,Office,575 Boylston Street,02116,36801,57,34.0,,Office,1910,157.1,4.3,2096539.4,0.9208674499510956,,,2.64,,,501305000
392,577-599 Commonwealth Avenue (595 Comm Ave),Compliant,Office,577-599 Commonwealth Avenue (595 Comm Ave),02215,424121,116.2,39.0,,"College/University, Office, Parking",1996,3187.1,7.5,49264854.3,0.4885986763996174,0.46941473650110854,,35.3,,,0503991000
393,580 Commonwealth Avenue,Compliant,Multifamily Housing,580 Commonwealth Avenue,02215,126333,77.2,6.0,,Multifamily Housing,2004,650.7,5.2,9750925.6,0.5744679302239779,0.3761665354107512,,49.46,,, 0504140000
